index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
684,0 days 01:54:37.690000,NOR,4,0 days 00:01:33.514000,33.0,1.0,,,0 days 00:00:34.174000,0 days 00:00:29.433000,0 days 00:00:29.907000,0 days 01:53:38.366000,0 days 01:54:07.799000,0 days 01:54:37.706000,288.0,298.0,291.0,298.0,False,MEDIUM,33.0,True,McLaren,0 days 01:53:04.176000,2024-03-09 17:57:19.396,1,4.0,False,,False,True
685,0 days 01:56:11.089000,NOR,4,0 days 00:01:33.399000,34.0,1.0,,,0 days 00:00:34.242000,0 days 00:00:29.411000,0 days 00:00:29.746000,0 days 01:55:11.948000,0 days 01:55:41.359000,0 days 01:56:11.105000,,301.0,291.0,300.0,False,MEDIUM,34.0,True,McLaren,0 days 01:54:37.690000,2024-03-09 17:58:52.910,1,4.0,False,,False,True
686,0 days 01:57:44.660000,NOR,4,0 days 00:01:33.571000,35.0,1.0,,,0 days 00:00:34.212000,0 days 00:00:29.504000,0 days 00:00:29.855000,0 days 01:56:45.317000,0 days 01:57:14.821000,0 days 01:57:44.676000,,300.0,292.0,300.0,False,MEDIUM,35.0,True,McLaren,0 days 01:56:11.089000,2024-03-09 18:00:26.309,1,4.0,False,,False,True
687,0 days 01:59:18.233000,NOR,4,0 days 00:01:33.573000,36.0,1.0,,,0 days 00:00:34.258000,0 days 00:00:29.481000,0 days 00:00:29.834000,0 days 01:58:18.934000,0 days 01:58:48.415000,0 days 01:59:18.249000,,301.0,293.0,302.0,False,MEDIUM,36.0,True,McLaren,0 days 01:57:44.660000,2024-03-09 18:01:59.880,1,4.0,False,,False,True
688,0 days 02:00:54.908000,NOR,4,0 days 00:01:36.675000,37.0,1.0,,0 days 02:00:53.788000,0 days 00:00:34.295000,0 days 00:00:29.498000,0 days 00:00:32.882000,0 days 01:59:52.544000,0 days 02:00:22.042000,0 days 02:00:54.924000,,300.0,,299.0,False,MEDIUM,37.0,True,McLaren,0 days 01:59:18.233000,2024-03-09 18:03:33.453,1,4.0,False,,False,False
689,0 days 02:02:45.757000,NOR,4,0 days 00:01:50.849000,38.0,2.0,0 days 02:01:16.054000,,0 days 00:00:52.110000,0 days 00:00:29.326000,0 days 00:00:29.413000,0 days 02:01:47.034000,0 days 02:02:16.360000,0 days 02:02:45.773000,283.0,294.0,292.0,294.0,False,SOFT,7.0,False,McLaren,0 days 02:00:54.908000,2024-03-09 18:05:10.128,1,8.0,False,,False,False
690,0 days 02:04:17.863000,NOR,4,0 days 00:01:32.106000,39.0,2.0,,,0 days 00:00:33.720000,0 days 00:00:29.019000,0 days 00:00:29.367000,0 days 02:03:19.493000,0 days 02:03:48.512000,0 days 02:04:17.879000,290.0,299.0,290.0,299.0,True,SOFT,8.0,False,McLaren,0 days 02:02:45.757000,2024-03-09 18:07:00.977,1,8.0,False,,False,True
691,0 days 02:05:49.807000,NOR,4,0 days 00:01:31.944000,40.0,2.0,,,0 days 00:00:33.625000,0 days 00:00:28.987000,0 days 00:00:29.332000,0 days 02:04:51.504000,0 days 02:05:20.491000,0 days 02:05:49.823000,285.0,298.0,292.0,299.0,True,SOFT,9.0,False,McLaren,0 days 02:04:17.863000,2024-03-09 18:08:33.083,1,8.0,False,,False,True
692,0 days 02:07:21.902000,NOR,4,0 days 00:01:32.095000,41.0,2.0,,,0 days 00:00:33.575000,0 days 00:00:29.014000,0 days 00:00:29.506000,0 days 02:06:23.398000,0 days 02:06:52.412000,0 days 02:07:21.918000,291.0,300.0,293.0,299.0,False,SOFT,10.0,False,McLaren,0 days 02:05:49.807000,2024-03-09 18:10:05.027,1,8.0,False,,False,True
693,0 days 02:08:54.104000,NOR,4,0 days 00:01:32.202000,42.0,2.0,,,0 days 00:00:33.716000,0 days 00:00:29.121000,0 days 00:00:29.365000,0 days 02:07:55.634000,0 days 02:08:24.755000,0 days 02:08:54.120000,288.0,298.0,292.0,298.0,False,SOFT,11.0,False,McLaren,0 days 02:07:21.902000,2024-03-09 18:11:37.122,1,8.0,False,,False,True
